BOV138 18 506.73:

63 101.57 2
64 103.19 4
65 102.84 1
76 102.0 3
72 102.43 1
63 101.5 5
63 102.06 2

BOV193 18 613.29:

71 102.56 3
76 101.58 3
77 101.62 3
65 101.62 1
74 101.93 4
73 101.65 4
72 102.12 4

BOV198 19 555.1:

65 102.7 5
74 102.45 2
75 102.52 1
62 103.03 3
68 102.57 1
76 103.06 3
73 102.63 4

BOV328 19 635.79:

77 103.17 4
63 103.3 2
69 102.71 4
66 102.27 2
62 101.7 5
64 101.83 1
67 101.6 4

BOV443 19 527.89:

62 102.68 2
60 102.33 5
77 102.0 4
62 101.61 1
68 103.39 4
76 101.67 1
76 102.93 3

BOV458 18 580.65:

69 103.11 3
75 103.12 3
64 102.22 2
71 103.21 3
62 103.23 4
65 102.75 2
70 103.32 1

BOV498 18 645.96:

63 102.91 4
62 103.0 1
79 102.38 1
79 103.14 3
63 101.86 4
73 102.07 3
65 102.44 3

BOV523 19 572.15:

64 102.93 2
63 103.27 1
75 102.1 4
74 102.83 4
69 102.27 1
69 103.19 1
65 102.59 1

BOV613 18 619.73:

63 101.95 2
71 101.56 5
70 103.26 5
75 101.88 2
60 102.35 5
71 101.84 4
67 102.72 1

A 1 1.0:

66 102.56 3
65 102.51 3
79 101.79 3
72 102.01 4
67 102.86 3
65 102.29 5
65 102.09 2

A 1 1.0:

67 101.97 1
78 102.75 1
66 102.61 4
62 103.31 2
63 102.18 4
63 101.95 3
79 103.23 5

